propertyId,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,price_adjusted,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
,Apartment,Apartment / Unit / Flat,Sold,"1/6-10 Myra Road, Dulwich Hill NSW 2203",NSW,inner_west,Dulwich Hill,2203,14262,"$740,000 ","$740,000 ",0,0,2,2,1,0K,"Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Secure Parking"
HM-3609-YX,Apartment,Apartment / Unit / Flat,Buy,"12/5 Dural Street, Hornsby NSW 2077",NSW,north_shore_upper,Hornsby,2077,21362,"For Sale, price  guide $710,000  - $760,000",$0 ,0,0,2,1,1,0K,
A50190562,Apartment,Apartment / Unit / Flat,Sold,"53/1 Lamond Drive, Turramurra NSW 2074",NSW,north_shore_upper,Turramurra,2074,44222,"$770,000 ","$770,000 ",0,0,2,2,1,0K,
RD-7466-IS,Apartment,Apartment / Unit / Flat,Sold,"325/2-4 Powell Street, Waterloo NSW 2017",NSW,eastern_suburbs,Waterloo,2017,46622,"$705,000 ","$705,000 ",125 sqm,0,2,2,1,0K,"Balcony / Deck,Bath,Broadband internet access,Built in wardrobes,Cable or Satellite,Dishwasher,Ensuite,Ensuite(s),Gas,Intercom,Internal Laundry,North Facing,Pets allowed,Secure parking,Separate Dining Room,Study,Swimming Pool"
A12396142,Apartment,Apartment / Unit / Flat,Sold,"7/54 Epping Road, Lane Cove NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$447,500 ","$447,500 ",0,0,2,1,1,0K,"Air conditioning,Bath,Built in wardrobes,Secure Parking"
EK-4993-CB,Apartment,Apartment / Unit / Flat,Sold,"313/298 Sussex Street, SYDNEY NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$660,000 ","$660,000 ",0,0,1,1,1,0K,
A7322437,Apartment,Apartment / Unit / Flat,Sold,"2/16-18 Epping Road, LANE COVE NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$616,000 ","$616,000 ",0,0,2,1,1,0K,"Close to Transport, Balcony, Built-In-Robes, Dishwasher"
GY-9752-VE,House,House,Sold,"33 St Mary Street, CAMPERDOWN NSW 2050",NSW,inner_west,Camperdown,2050,8552,"$682,000 ","$682,000 ",0,0,2,2,1,0K,
A5979020,Apartment,Apartment / Unit / Flat,Sold,"9/78a Balgowlah  Road, Balgowlah NSW 2093",NSW,northern_beaches,Balgowlah,2093,1752,"$612,000 ","$612,000 ",0,0,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Shops, Close to Transport"
RV-2956-BL,Apartment,Apartment / Unit / Flat,Sold,"8/62 Alice Street, Harris Park NSW 2150",NSW,parramatta,Harris Park,2150,20422,"$437,000 ","$437,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"73/441 Alfred Street, Neutral Bay NSW 2089",NSW,north_shore_lower,Neutral Bay,2089,32332,Price Withheld,$0 ,0,0,1,1,1,0K,
ZP-7534-ML,Apartment,Apartment / Unit / Flat,Sold,"4/44 Bent Street, NEUTRAL BAY NSW 2089",NSW,north_shore_lower,Neutral Bay,2089,32332,"$673,000 ","$673,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Separate Dining, Terrace-Balcony"
