propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
AY-5557-QL,14-Mar-17,Apartment,Apartment / Unit / Flat,Sold,"2/4 Lamond Drive, Turramurra NSW 2074",NSW,north_shore_upper,Turramurra,2074,44222,"$595,000 ",0,0,1,1,1,0K,"Air conditioning,Intercom,Built in wardrobes,Internal Laundry,Gas,Broadband internet access,Bath,Ground floor,Garden / Courtyard"
,19-Nov-12,Apartment,Apartment / Unit / Flat,Sold,"4, 5 &amp;/102a Gale Rd, Maroubra NSW 2035",NSW,eastern_suburbs,Maroubra,2035,27512,"$580,000 ",0,0,2,1,2,0K,
GQ-5095-VS,17-Dec-13,Apartment,Apartment / Unit / Flat,Sold,"8/38 Beach Street, CURL CURL NSW 2096",NSW,northern_beaches,Curl Curl,2096,12712,"$590,000 ",0,0,2,1,1,0K,
A5541871,5-Jul-14,Apartment,Apartment / Unit / Flat,Sold,"2/27 Reynolds Street, CREMORNE NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$700,000 ",0,0,2,1,1,0K,
WZ-5704-LY,15-May-14,Apartment,Apartment / Unit / Flat,Sold,"6/12 Brook Street, Clovelly NSW 2031",NSW,eastern_suburbs,Clovelly,2031,10312,"$715,000 ",0,0,2,1,1,0K,
SD-5247-DN,31-Jul-14,Apartment,Apartment / Unit / Flat,Sold,"203/5-13 Garners Avenue, MARRICKVILLE NSW 2204",NSW,inner_west,Marrickville,2204,27552,"$564,000 ",132,0,1,1,1,0K,
YS-8043-RQ,3-Aug-13,Apartment,Apartment / Unit / Flat,Sold,"14/36 Landers Road, LANE COVE NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$571,000 ",0,0,2,1,1,0K,"Close to Schools,Close to Transport"
AP-3628-SU,2-Oct-13,Apartment,Apartment / Unit / Flat,Sold,"20/24 Goodwin Street, NARRABEEN NSW 2101",NSW,northern_beaches,Narrabeen,2101,32002,"$607,000 ",0,0,2,1,2,0K,
KR-4300-IQ,9-Dec-11,Apartment,Apartment / Unit / Flat,Sold,"3/27 Hampden Road, ARTARMON NSW 2064",NSW,north_shore_lower,Artarmon,2064,1112,"$500,000 ",0,0,2,1,1,0K,
IZ-3388-DH,8-Feb-14,Apartment,Apartment / Unit / Flat,Sold,"12/156 Parramatta Road, Camperdown NSW 2050",NSW,inner_west,Camperdown,2050,8552,"$643,000 ",0,0,1,1,1,0K,
,28-Jul-15,Apartment,Apartment / Unit / Flat,Sold,"8/166 Raglan Street, Mosman NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$565,000 ",0,0,1,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport"
OY-0709-CH,7-May-16,Apartment,Apartment / Unit / Flat,Sold,"3/37 Oxley Avenue, Jannali NSW 2226",NSW,sutherland,Jannali,2226,22102,"$510,000 ",0,0,2,1,1,0K,"Balcony / Deck, Built in wardrobes"
SJ-2217-GA,2-Oct-13,Apartment,Apartment / Unit / Flat,Sold,"15/73 Bradleys Head Road, Mosman NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$570,000 ",51,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, City Views, Carpeted"
VG-9764-MX,11-Oct-16,Apartment,Apartment / Unit / Flat,Sold,"1/34 Brookvale Avenue, Brookvale NSW 2100",NSW,northern_beaches,Brookvale,2100,6612,"$600,000 ",0,0,1,1,1,0K,
BT-0967-RI,18-Sep-14,Apartment,Apartment / Unit / Flat,Sold,"18/17 Pearce Avenue, Newington NSW 2127",NSW,inner_west,Newington,2127,32572,"$562,500 ",0,Square sqm,2,2,1,0K,
QH-3802-SS,29-Sep-15,Apartment,Apartment / Unit / Flat,Sold,"4/771 Pittwater Road, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$855,000 ",0,0,2,2,1,0K,"Air Conditioning, Internal Laundry, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Gas, Secure Parking"
A6688143,22-Jul-14,Apartment,Apartment / Unit / Flat,Sold,"40/438 Forest Road, Hurstville NSW 2220",NSW,st_george,Hurstville,2220,21712,"$640,000 ",0,110 sqm,2,2,1,0K,"Air conditioning,Balcony / Deck,Bath,Built in wardrobes,City Views,Dishwasher,Ensuite,Floorboards,Gym,Indoor Spa,Intercom,Internal Laundry,North Facing,Outdoor Spa,Secure Parking,Study,Swimming Pool,Tennis Court"
QL-1962-TL,6-Nov-13,Apartment,Apartment / Unit / Flat,Sold,"139/2 Wattle Crescent, PYRMONT NSW 2009",NSW,sydney_city,Pyrmont,2009,36382,"$680,000 ",109,0,2,2,1,0K,
WP-0937-ZX,25-Jul-14,Apartment,Apartment / Unit / Flat,Sold,"6/41 Howard Avenue, DEE WHY NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$545,000 ",0,0,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport"
FD-0690-RI,9-Oct-13,Apartment,Apartment / Unit / Flat,Sold,"2/169 Ocean Street, Narrabeen NSW 2101",NSW,northern_beaches,Narrabeen,2101,32002,"$570,000 ",0,0,2,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Beach Front, Ocean Views"
WY-4964-BN,4-Oct-16,Apartment,Apartment / Unit / Flat,Sold,"701/63 Bank Lane, Kogarah NSW 2217",NSW,st_george,Kogarah,2217,24012,"$745,000 ",0,0,2,2,1,0K,"Air conditioning,Ensuite,Floorboards,Intercom,Built in wardrobes,Internal Laundry,Gas,Dishwasher,Water Views,Balcony / Deck"
EY-4413-ZA,9-Sep-11,Apartment,Apartment / Unit / Flat,Sold,"705/1 Cambridge La, Chatswood NSW 2067",NSW,north_shore_lower,Chatswood,2067,9782,"$846,500 ",0,0,2,2,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Ensuite(s),Gas,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Quiet Location,Secure parking,Spa,Swimming Pool,Views"
A5783300,5-Feb-15,House,House,Sold,"48/13 Grace Campbell Crescent, HILLSDALE NSW 2036",NSW,eastern_suburbs,Hillsdale,2036,21022,"$505,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport"
,22-Apr-17,Apartment,Apartment / Unit / Flat,Sold,"1404/281 Elizabeth Street, Sydney NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$850,000 ",0,0,1,1,1,0K,"Air Conditioning,Built-In Wardrobes,Close to Shops,Close to Transport,Secure Parking,Terrace-Balcony,Pool and Gym in complex, 24hr concierge"
QQ-0839-BZ,5-Nov-14,Apartment,Apartment / Unit / Flat,Sold,"3/267 Maroubra Road, Maroubra NSW 2035",NSW,eastern_suburbs,Maroubra,2035,27512,"$750,000 ",0,0,2,2,2,0K,
,31-Dec-99,Apartment,Apartment / Unit / Flat,Buy,"8/28 Bondi Road, Bondi Junction NSW 2022",NSW,eastern_suburbs,Bondi Junction,2022,5302,Price Upon Application,0,0,1,1,1,0K,
ZS-9566-KF,1-Oct-13,Apartment,Apartment / Unit / Flat,Sold,"6/331 Miller Street, Cammeray NSW 2062",NSW,north_shore_lower,Cammeray,2062,8512,"$605,000 ",0,0,1,1,1,0K,"Air conditioning,Built in wardrobes,Cable or Satellite,Dishwasher,Garden / Courtyard,Intercom,Internal Laundry,Pets allowed,Secure Parking"
KP-5277-QU,20-Aug-16,Apartment,Apartment / Unit / Flat,Sold,"11/21 Ormond Street, Ashfield NSW 2131",NSW,inner_west,Ashfield,2131,1212,"$780,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Polished Timber Floor, Terrace-Balcony"
ZP-4242-PU,11-Feb-14,Apartment,Apartment / Unit / Flat,Sold,"11/14 Rangers Road, CREMORNE NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$752,000 ",0,0,2,2,1,0K,"Internal Laundry, Intercom, Balcony / Deck, Built in wardrobes"
QQ-5834-LW,25-May-09,Apartment,Apartment / Unit / Flat,Sold,"23/14 Edward Street, Bondi NSW 2026",NSW,eastern_suburbs,Bondi,2026,5272,"$770,000 ",0,squareMeter sqm,2,1,1,0K,
