propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
SR-4512-IW,13 Dec 2013,Apartment,Apartment / Unit / Flat,Sold,"9/17 Bridge End, WOLLSTONECRAFT NSW 2065",NSW,north_shore_lower,Wollstonecraft,2065,48722,"$725,000",0,0,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Polished Timber Floor, Pool, Secure Parking, Terrace-Balcony"
,20 May 2017,Apartment,Apartment / Unit / Flat,Sold,"11/20 Barber Ave, Eastlakes NSW 2018",NSW,eastern_suburbs,Eastlakes,2018,15182,"$731,000",0,0,2,1,1,0K,"Air Conditioning,Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Secure Parking,Polished Timber Floor,Separate Dining,Terrace-Balcony"
,15 Dec 2010,Apartment,Apartment / Unit / Flat,Sold,"18201/177-219 Mitchell Road, Erskineville NSW 2043",NSW,inner_west,Erskineville,2043,15982,"$555,000",110,0,2,2,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Concierge / Manager,Ensuite(s),Furnished,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Quiet Location,Swimming Pool,Tennis Court,Views"
MZ-0366-DA,01 May 2013,Apartment,Apartment / Unit / Flat,Sold,"3/116 Mount Street, Coogee NSW 2034",NSW,eastern_suburbs,Coogee,2034,11282,"$650,000",0,0,2,1,1,0K,
,08 Apr 2017,Apartment,Apartment / Unit / Flat,Sold,"8/80 Victoria Road (corner of Leicester Street), Marrickville NSW 2204",NSW,inner_west,Marrickville,2204,27552,"$705,000",0,0,1,1,1,0K,"Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Secure Parking,Terrace-Balcony"
,20 May 2009,House,House,Sold,"15 Oleander Court, PEAKHURST NSW 2210",NSW,st_george,Peakhurst,2210,35152,Price Withheld,0,0,2,1,2,0K,
ZF-1261-GW,14 Apr 2016,Apartment,Apartment / Unit / Flat,Sold,"2/10 Francis Street, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$640,000",0,0,2,1,1,0K,
,04 Jul 2012,Apartment,Apartment / Unit / Flat,Sold,"303/28 Warayama Place, Rozelle NSW 2039",NSW,inner_west,Rozelle,2039,37942,"$539,000",77,0,1,1,1,0K,
ME-8731-OC,30 Nov 2015,House,Townhouse,Sold,"1/75 Stewart Avenue, Hammondville NSW 2170",NSW,liverpool_fairfield,Hammondville,2170,20242,"$513,500",0,0,2,1,1,0K,
CV-6171-AX,27 Feb 2014,Apartment,Apartment / Unit / Flat,Sold,"1/7 Epping Road, EPPING NSW 2121",NSW,northern_suburbs,Epping,2121,15852,"$550,000",0,0,2,1,1,0K,
A5561649,20 Mar 2015,Apartment,Apartment / Unit / Flat,Sold,"2/57 Whistler Street, Manly NSW 2095",NSW,northern_beaches,Manly,2095,27222,"$845,000",0,0,2,1,1,0K,
A6183417,08 Apr 2014,Apartment,Apartment / Unit / Flat,Sold,"3/8 Moore Street, BONDI NSW 2026",NSW,eastern_suburbs,Bondi,2026,5272,Price Withheld,0,0,2,2,1,0K,
,14 May 2010,,,,,,,,,,,,,,,,,
A5853547,14 Dec 2012,Apartment,Apartment / Unit / Flat,Sold,"6/25 Sutherland Street, CREMORNE NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$705,000",0,0,2,2,1,0K,Secure Parking
EK-8568-GD,08 Dec 2012,Apartment,Apartment / Unit / Flat,Sold,"22/8 Centennial Avenue, CHATSWOOD NSW 2067",NSW,north_shore_lower,Chatswood,2067,9782,"$590,000",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Polished Timber Floor, Secure Parking, Terrace-Balcony"
DN-1370-GS,16 Apr 2014,Apartment,Apartment / Unit / Flat,Sold,"14/21 Angas Street, Meadowbank NSW 2114",NSW,northern_suburbs,Meadowbank,2114,28092,"$685,000",0,0,2,2,1,0K,"Air Conditioning,Balcony,Close to Shops,Close to Transport,Gas Heating,Gas Hot Water,Intercom,Internal Laundry,Water Views"
,13 Jan 2009,Apartment,Apartment / Unit / Flat,Sold,"4/106 Chandos Street, Crows Nest NSW 2065",NSW,north_shore_lower,Crows Nest,2065,12412,"$527,500",0,0,2,1,1,0K,
TQ-6400-EZ,10 Jan 2017,Apartment,Apartment / Unit / Flat,Sold,"2311/8 Eve Street, Erskineville NSW 2043",NSW,inner_west,Erskineville,2043,15982,"$750,000",0,0,1,1,1,0K,
IH-8359-DP,21 Jul 2014,Apartment,Apartment / Unit / Flat,Sold,"17/5 Devitt Avenue, Newington NSW 2127",NSW,inner_west,Newington,2127,32572,"$585,000",0,0,2,2,1,0K,
YW-8625-CF,19 Apr 2016,Apartment,Apartment / Unit / Flat,Sold,"38/1 Blackadder Close, Chiswick NSW 2046",NSW,inner_west,Chiswick,2046,9972,"$880,000",98,137 sqm,2,2,2,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Polished Timber Floor, Pool, Secure Parking, Terrace-Balcony"
,01 Oct 2015,,,,,,,,,,,,,,,,,
,20 Dec 2013,Apartment,Apartment / Unit / Flat,Sold,"8/11 Arthur Street, MARRICKVILLE NSW 2204",NSW,inner_west,Marrickville,2204,27552,"$530,000",83,0,2,1,1,0K,
,15 Dec 2012,Apartment,Apartment / Unit / Flat,Sold,"B401/24 Point Street, PYRMONT NSW 2009",NSW,sydney_city,Pyrmont,2009,36382,"$648,000",0,0,2,1,1,0K,Secure Parking
,22 Jul 2015,House,Townhouse,Sold,"1/65 Gilba Road, Girraween NSW 2145",NSW,parramatta,Girraween,2145,18062,"$650,000",0,0,2,2,1,0K,
